xmin,xmax,ymin,ymax,zmin,zmax
-735.0,-700.0,-670.0,-635.0,0.0,25.0
-735.0,-700.0,-540.0,-505.0,0.0,25.0
-735.0,-700.0,-475.0,-440.0,0.0,25.0
-735.0,-700.0,45.0,80.0,0.0,25.0
-735.0,-700.0,110.0,145.0,0.0,25.0
-670.0,-635.0,-605.0,-570.0,0.0,25.0
-670.0,-635.0,-345.0,-310.0,0.0,25.0
-670.0,-635.0,-215.0,-180.0,0.0,25.0
-670.0,-635.0,630.0,665.0,0.0,25.0
-605.0,-570.0,-670.0,-635.0,0.0,25.0
-605.0,-570.0,-605.0,-570.0,0.0,25.0
-605.0,-570.0,-150.0,-115.0,0.0,25.0
-605.0,-570.0,-20.0,15.0,0.0,25.0
-605.0,-570.0,110.0,145.0,0.0,25.0
-605.0,-570.0,500.0,535.0,0.0,25.0
-605.0,-570.0,565.0,600.0,0.0,25.0
-540.0,-505.0,-540.0,-505.0,0.0,25.0
-540.0,-505.0,-410.0,-375.0,0.0,25.0
-540.0,-505.0,-20.0,15.0,0.0,25.0
-540.0,-505.0,45.0,80.0,0.0,25.0
-540.0,-505.0,565.0,600.0,0.0,25.0
-540.0,-505.0,695.0,730.0,0.0,25.0
-475.0,-440.0,-540.0,-505.0,0.0,25.0
-475.0,-440.0,-475.0,-440.0,0.0,25.0
-475.0,-440.0,-410.0,-375.0,0.0,25.0
-475.0,-440.0,-215.0,-180.0,0.0,25.0
-475.0,-440.0,-150.0,-115.0,0.0,25.0
-475.0,-440.0,-20.0,15.0,0.0,25.0
-475.0,-440.0,45.0,80.0,0.0,25.0
-475.0,-440.0,110.0,145.0,0.0,25.0
-475.0,-440.0,175.0,210.0,0.0,25.0
-475.0,-440.0,240.0,275.0,0.0,25.0
-475.0,-440.0,370.0,405.0,0.0,25.0
-475.0,-440.0,435.0,470.0,0.0,25.0
-475.0,-440.0,695.0,730.0,0.0,25.0
-410.0,-375.0,-410.0,-375.0,0.0,25.0
-410.0,-375.0,-280.0,-245.0,0.0,25.0
-410.0,-375.0,-215.0,-180.0,0.0,25.0
-410.0,-375.0,-150.0,-115.0,0.0,25.0
-410.0,-375.0,45.0,80.0,0.0,25.0
-410.0,-375.0,110.0,145.0,0.0,25.0
-410.0,-375.0,175.0,210.0,0.0,25.0
-410.0,-375.0,240.0,275.0,0.0,25.0
-410.0,-375.0,305.0,340.0,0.0,25.0
-410.0,-375.0,370.0,405.0,0.0,25.0
-410.0,-375.0,500.0,535.0,0.0,25.0
-410.0,-375.0,565.0,600.0,0.0,25.0
-345.0,-310.0,-280.0,-245.0,0.0,25.0
-345.0,-310.0,-215.0,-180.0,0.0,25.0
-345.0,-310.0,45.0,80.0,0.0,25.0
-280.0,-245.0,-735.0,-700.0,0.0,25.0
-280.0,-245.0,-475.0,-440.0,0.0,25.0
-280.0,-245.0,-345.0,-310.0,0.0,25.0
-280.0,-245.0,-150.0,-115.0,0.0,25.0
-280.0,-245.0,-85.0,-50.0,0.0,25.0
-280.0,-245.0,-20.0,15.0,0.0,25.0
-280.0,-245.0,45.0,80.0,0.0,25.0
-280.0,-245.0,240.0,275.0,0.0,25.0
-280.0,-245.0,305.0,340.0,0.0,25.0
-280.0,-245.0,435.0,470.0,0.0,25.0
-280.0,-245.0,565.0,600.0,0.0,25.0
-215.0,-180.0,-540.0,-505.0,0.0,25.0
-215.0,-180.0,-410.0,-375.0,0.0,25.0
-215.0,-180.0,-215.0,-180.0,0.0,25.0
-215.0,-180.0,-150.0,-115.0,0.0,25.0
-215.0,-180.0,-85.0,-50.0,0.0,25.0
-215.0,-180.0,-20.0,15.0,0.0,25.0
-215.0,-180.0,45.0,80.0,0.0,25.0
-215.0,-180.0,110.0,145.0,0.0,25.0
-215.0,-180.0,305.0,340.0,0.0,25.0
-215.0,-180.0,370.0,405.0,0.0,25.0
-215.0,-180.0,565.0,600.0,0.0,25.0
-150.0,-115.0,-735.0,-700.0,0.0,25.0
-150.0,-115.0,-475.0,-440.0,0.0,25.0
-150.0,-115.0,-410.0,-375.0,0.0,25.0
-150.0,-115.0,-345.0,-310.0,0.0,25.0
-150.0,-115.0,-215.0,-180.0,0.0,25.0
-150.0,-115.0,-150.0,-115.0,0.0,25.0
-150.0,-115.0,-85.0,-50.0,0.0,25.0
-150.0,-115.0,45.0,80.0,0.0,25.0
-150.0,-115.0,110.0,145.0,0.0,25.0
-150.0,-115.0,305.0,340.0,0.0,25.0
-150.0,-115.0,435.0,470.0,0.0,25.0
-150.0,-115.0,500.0,535.0,0.0,25.0
-85.0,-50.0,-735.0,-700.0,0.0,25.0
-85.0,-50.0,-605.0,-570.0,0.0,25.0
-85.0,-50.0,-540.0,-505.0,0.0,25.0
-85.0,-50.0,-410.0,-375.0,0.0,25.0
-85.0,-50.0,-345.0,-310.0,0.0,25.0
-85.0,-50.0,-215.0,-180.0,0.0,25.0
-85.0,-50.0,-150.0,-115.0,0.0,25.0
-85.0,-50.0,-85.0,-50.0,0.0,25.0
-85.0,-50.0,-20.0,15.0,0.0,25.0
-85.0,-50.0,45.0,80.0,0.0,25.0
-85.0,-50.0,110.0,145.0,0.0,25.0
-85.0,-50.0,175.0,210.0,0.0,25.0
-85.0,-50.0,240.0,275.0,0.0,25.0
-85.0,-50.0,305.0,340.0,0.0,25.0
-85.0,-50.0,435.0,470.0,0.0,25.0
-20.0,15.0,-410.0,-375.0,0.0,25.0
-20.0,15.0,-215.0,-180.0,0.0,25.0
-20.0,15.0,-150.0,-115.0,0.0,25.0
-20.0,15.0,-85.0,-50.0,0.0,25.0
-20.0,15.0,-20.0,15.0,0.0,25.0
-20.0,15.0,45.0,80.0,0.0,25.0
-20.0,15.0,110.0,145.0,0.0,25.0
-20.0,15.0,175.0,210.0,0.0,25.0
-20.0,15.0,240.0,275.0,0.0,25.0
-20.0,15.0,305.0,340.0,0.0,25.0
-20.0,15.0,435.0,470.0,0.0,25.0
45.0,80.0,-670.0,-635.0,0.0,25.0
45.0,80.0,-475.0,-440.0,0.0,25.0
45.0,80.0,-345.0,-310.0,0.0,25.0
45.0,80.0,-280.0,-245.0,0.0,25.0
45.0,80.0,-215.0,-180.0,0.0,25.0
45.0,80.0,-150.0,-115.0,0.0,25.0
45.0,80.0,-20.0,15.0,0.0,25.0
45.0,80.0,45.0,80.0,0.0,25.0
45.0,80.0,240.0,275.0,0.0,25.0
45.0,80.0,305.0,340.0,0.0,25.0
45.0,80.0,370.0,405.0,0.0,25.0
45.0,80.0,695.0,730.0,0.0,25.0
110.0,145.0,-410.0,-375.0,0.0,25.0
110.0,145.0,-280.0,-245.0,0.0,25.0
110.0,145.0,-215.0,-180.0,0.0,25.0
110.0,145.0,-85.0,-50.0,0.0,25.0
110.0,145.0,-20.0,15.0,0.0,25.0
110.0,145.0,45.0,80.0,0.0,25.0
110.0,145.0,110.0,145.0,0.0,25.0
110.0,145.0,175.0,210.0,0.0,25.0
110.0,145.0,370.0,405.0,0.0,25.0
110.0,145.0,435.0,470.0,0.0,25.0
110.0,145.0,565.0,600.0,0.0,25.0
110.0,145.0,695.0,730.0,0.0,25.0
175.0,210.0,-735.0,-700.0,0.0,25.0
175.0,210.0,-475.0,-440.0,0.0,25.0
175.0,210.0,-280.0,-245.0,0.0,25.0
175.0,210.0,-215.0,-180.0,0.0,25.0
175.0,210.0,45.0,80.0,0.0,25.0
175.0,210.0,110.0,145.0,0.0,25.0
175.0,210.0,175.0,210.0,0.0,25.0
175.0,210.0,240.0,275.0,0.0,25.0
175.0,210.0,305.0,340.0,0.0,25.0
175.0,210.0,565.0,600.0,0.0,25.0
175.0,210.0,630.0,665.0,0.0,25.0
240.0,275.0,-670.0,-635.0,0.0,25.0
240.0,275.0,-345.0,-310.0,0.0,25.0
240.0,275.0,-280.0,-245.0,0.0,25.0
240.0,275.0,-215.0,-180.0,0.0,25.0
240.0,275.0,-150.0,-115.0,0.0,25.0
240.0,275.0,-85.0,-50.0,0.0,25.0
240.0,275.0,-20.0,15.0,0.0,25.0
240.0,275.0,45.0,80.0,0.0,25.0
240.0,275.0,110.0,145.0,0.0,25.0
240.0,275.0,240.0,275.0,0.0,25.0
305.0,340.0,-410.0,-375.0,0.0,25.0
305.0,340.0,-215.0,-180.0,0.0,25.0
305.0,340.0,-150.0,-115.0,0.0,25.0
305.0,340.0,-20.0,15.0,0.0,25.0
305.0,340.0,45.0,80.0,0.0,25.0
305.0,340.0,240.0,275.0,0.0,25.0
305.0,340.0,305.0,340.0,0.0,25.0
305.0,340.0,435.0,470.0,0.0,25.0
305.0,340.0,565.0,600.0,0.0,25.0
305.0,340.0,695.0,730.0,0.0,25.0
370.0,405.0,-735.0,-700.0,0.0,25.0
370.0,405.0,-540.0,-505.0,0.0,25.0
370.0,405.0,-280.0,-245.0,0.0,25.0
370.0,405.0,110.0,145.0,0.0,25.0
370.0,405.0,370.0,405.0,0.0,25.0
435.0,470.0,-670.0,-635.0,0.0,25.0
435.0,470.0,-345.0,-310.0,0.0,25.0
435.0,470.0,-150.0,-115.0,0.0,25.0
435.0,470.0,565.0,600.0,0.0,25.0
500.0,535.0,-540.0,-505.0,0.0,25.0
500.0,535.0,-475.0,-440.0,0.0,25.0
500.0,535.0,-215.0,-180.0,0.0,25.0
500.0,535.0,45.0,80.0,0.0,25.0
500.0,535.0,305.0,340.0,0.0,25.0
500.0,535.0,435.0,470.0,0.0,25.0
500.0,535.0,565.0,600.0,0.0,25.0
565.0,600.0,-410.0,-375.0,0.0,25.0
565.0,600.0,-85.0,-50.0,0.0,25.0
565.0,600.0,240.0,275.0,0.0,25.0
565.0,600.0,305.0,340.0,0.0,25.0
630.0,665.0,-410.0,-375.0,0.0,25.0
630.0,665.0,-150.0,-115.0,0.0,25.0
630.0,665.0,-20.0,15.0,0.0,25.0
630.0,665.0,110.0,145.0,0.0,25.0
630.0,665.0,175.0,210.0,0.0,25.0
630.0,665.0,240.0,275.0,0.0,25.0
630.0,665.0,565.0,600.0,0.0,25.0
695.0,730.0,-475.0,-440.0,0.0,25.0
695.0,730.0,-85.0,-50.0,0.0,25.0
695.0,730.0,45.0,80.0,0.0,25.0
